Noms des États avec drapeau et noms officiels ,"Superficie1
(km²) 2015 ","Population1
estimation 2017 ","Densité1
(hab. par km²) est. 2017 ",Capitale 
Afrique du Sud (Republic of South Africa (en) (fr)) ,1219912,55653654,46,Pretoria 
Botswana (Lefatshe la Botswana (tn) (fr)) ,581726,2209208,"3,8",Gaborone 
Comores (Union des Comores (fr) (fr)) ,2612,813912,343,Moroni 
Swaziland (Kingdom of Eswatini (en) (fr)) ,17363,1451428,"82,7",Lobamba 
Lesotho (Kingdom of Lesotho (en) (fr)) ,30355,1924381,63,Maseru 
Madagascar (Repoblikan'i Madagasikara (mg) (fr)) ,587041,24430325,"41,61",Antananarivo 
Malawi (Republic of Malawi (en) (fr)) ,118844,18091575,152,Lilongwe 
Maurice (Republic of Mauritius (en) (fr)) ,2040,1259838,630,Port-Louis 
Mozambique (República de Moçambique (pt) (fr)) ,801590,25900000,32,Maputo 
Namibie (Republic of Namibia (en) (fr)) ,825418,2484780,3,Windhoek 
Zimbabwe (Republic of Zimbabwe (en) (fr)) ,390245,14030368,36,Harare 
Zambie (Republic of Zambia (en) (fr)) ,752614,15066266,20,Lusaka 
Total ,5329760,163315735,"30,6",—
